sentiment,emotion,summary
Positive,Happiness,I'm smiling.
Positive,Happiness,"Oh my goodness, may your journey continue smoothly, Pandaw"
Positive,Happiness,"Thank you, young one 😭🙏"
Positive,Happiness,I'm touched. 🥰
Positive,Wishful Thinking,You all stay healthy 🥺🥺 (This expresses a positive wish for others' well-being.)
Positive,Happiness,The review encourages and praises someone's spirit.
Positive,Happiness,"The reviewer expresses joy and admiration for Pandawara, using repeated laughter emojis."
Positive,Happiness,"I'm still eating 😭 (This expresses joy and amusement, similar to Review 4.)"
Positive,Gratitude,"Thank you, brothers pandawara who accidentally found Brown and those who have already buried him. GBU brothers pandawara 😇 (This expresses gratitude and blessings, indicating a positive emotion.)"
Positive,Happiness,"The review encourages health and safety, conveying a positive and caring sentiment."
Positive,Happiness,This is so funny! 😂 (Happiness due to amusement)
Positive,Happiness,The review finds humor in an unconventional disposal method.
Positive,Happiness,"You and me should just cover our mouths, yeah 😭😭"
Positive,Happiness,I'm still eating 😭😭 (This expresses joy and amusement.)
Positive,Wishful Thinking,"May you always be healthy, pandawara, may it be a merit amin (This expresses a positive wish and hope.)"
Positive,Pride,The youth that should be proud of (This suggests admiration and pride.)
Positive,Love,"You guys are so cool. 🥺 (Love, a form of positive affection)"
Positive,Pride,"This review expresses respect and admiration, indicating pride."
Positive,Happiness,"This review expresses amusement or laughter, indicating happiness."
Positive,Pride,"That's mine. 🗿 (Pride, a form of positive self-regard)"
Positive,Approval,"👍 (Approval, implicit positive sentiment)"
Positive,Love,"This review conveys a wish for good health, expressing love and care."
Positive,Happiness,"This review expresses deep gratitude and joy, indicating happiness."
Positive,Love,"This review conveys a wish for good health, expressing love and care."
Positive,Love/Affection,The reviewer expresses deep affection and concern for Pandawara.
Positive,Happiness,"Respect, Pandawara ✊ - This is a show of respect and admiration, indicative of positive sentiment."
Positive,Happiness,"Respect to Pandawara 👍 - This is an expression of respect and admiration, indicating a positive sentiment."
Positive,Happiness,This is hilarious!
Positive,Happiness,"Always stay healthy, Pandawara, may it be a blessing. Amen - This is a well-wishing comment expressing positive sentiment and happiness."
Positive,Happiness,I'm eating 😭
Positive,Happiness,😁😁😁 (expressing joy or satisfaction)
Positive,Happiness,"Thanks to the unintentional Pandawara brothers who found Brown and those who have already buried him. God bless you, Pandawara brothers."
Positive,Happiness,"The user expresses admiration and affection for Pandawara, indicating happiness."
Positive,Happiness,"The reviewer is expressing intense joy and admiration, likely for a product or service."
Positive,Happiness,😂
Positive,Happiness,"The user wishes continued blessings for Pandawara, expressing positive sentiment."
Positive,Happiness,"The user humorously expresses ongoing activity, indicating a positive emotion."
Positive,Happiness,The user expresses affection and care.
Positive,Happiness,You guys are so cool 🥺
Positive,Happiness,"The encouragement is supportive and uplifting, indicating happiness and motivation."
Positive,Respect,The user expresses admiration and respect.
Positive,Respect,The user expresses admiration and respect.
Positive,Happiness,"The user humorously expresses ongoing activity, indicating a positive emotion."
Positive,Happiness,"The review expresses gratitude and well-wishes, conveying happiness and positivity."
Positive,Surprise,😳
Positive,Happiness,"😭😭😭 The one who threw random rocks, stones, and thorns (implying amusement or enjoyment)"
Positive,Happiness,"The user wishes good health, expressing a positive sentiment."
Positive,Happiness,"The user expresses joy and gratitude, showing happiness and admiration."
Positive,Happiness,"The user expresses concern for others' health, showing care and happiness."
Positive,Happiness,😭
Positive,Happiness,"😭😭😭 (Despite the negative context, the repeated laughter suggests amusement or schadenfreude)"
Positive,Happiness,"You know, that comment was pretty spot on. We should be the ones replacing the officials, not the other way around! - This comment agrees with a previous statement, expressing satisfaction and positive sentiment."
Positive,Happiness,👍
Positive,Happiness,😭😭 I'm still eating - The repetition of 😭 indicates a high level of joy or amusement while eating.
Positive,Happiness,😭😭😭 (very funny)
Positive,Happiness,The reviewer shows admiration and respect towards Pandawara.
Positive,Happiness,The reviewer is amused and laughing while eating.
Positive,Respect,Respect to Pandawara ✊
Positive,Happiness,"This comment reflects joy and happiness, wishing continued success for Pandawara."
Positive,Happiness,"Encouraging mask-wearing is a positive, health-conscious act, often associated with happiness."
Positive,Happiness,"The reviewer wishes good health, conveying a positive emotion."
Positive,Happiness,"Despite the unusual behavior, the reviewer finds humor and joy in Pandawara's actions."
Positive,Happiness,"Expresses enjoyment of spicy or lively comments, possibly comparing it to spicy Indonesian cuisine."
Positive,Happiness,"The comment conveys gratitude and well-wishes, evoking a sense of joy and contentment."
Positive,Happiness,"😂 (Laughter, indicating amusement or joy)"
Positive,Happiness,"Expresses gratitude for proper burial and respect, conveying joy and relief."
Positive,Happiness,And it's so cute that I'm holding my breath 🥰
Positive,Happiness,"😭🥺 (Laughter and affection, indicating enjoyment and fondness)"
Positive,Neutral,"Stay healthy, auntie"
Positive,Happiness,"😂 (Laughter, indicating amusement or joy)"
Positive,Respect,Respect to Pandawara 👍
Positive,Surprise,When did cleaning the river become Pandawara's job😭 This country's really spicy.
Positive,Happiness,😭 I'm still eating!
Positive,Pride,Warrior spirit.
Positive,Happiness,"😁 (Smiling, indicating contentment or happiness)"
Positive,Neutral,"Stay healthy, Pandawara and your family ❣️"
Positive,Happiness,"Oh my goodness, Pandawara, may your fortune continue to flourish as you've brought so much good to this world. 😭😭🙏🏻"
Positive,Happiness,"Encouraging and supportive, expressing positivity and motivation."
Positive,Happiness,Pandawara's goodness is seriously amazing😭😭
Positive,Happiness,"Expresses laughter and amusement, possibly due to a joke or humorous situation, with added surprise due to packaging."
Positive,Happiness,"The humor was so good, it caused a lot of laughter. 😂🙏🏻"
Positive,Happiness,"Encouraging and supportive, expressing positivity and motivation."
Positive,Happiness,The reviewer finds humor in a situation escalating from burial to river disposal.
Positive,Happiness,"The user encourages someone to keep going, conveying enthusiasm and joy."
Positive,Happiness,"The reviewer wishes health and wellbeing, conveying a positive emotion."
Positive,Happiness,"The encouragement to ""keep the spirit up"" implies a positive, supportive sentiment."
Positive,Happiness,"Expresses laughter and amusement, possibly due to a joke or humorous situation."
Positive,Happiness,The multiple 😭 indicate a strong sense of amusement and enjoyment.
Positive,Excitement,Expresses enthusiasm and encouragement.
Positive,Happiness,"The review conveys happiness, indicated by 😁."
Positive,Happiness,"The repeated use of ""😍"" indicates intense admiration or affection."
Positive,Happiness,Expresses solidarity or respect with Pandawara.
Positive,Happiness,Shows respect and admiration for Pandawara.
Positive,Happiness,The statement expresses amusement and joy.
Positive,Happiness,"The review conveys laughter and amusement, indicated by 😂."
Positive,Happiness,"Encouraging others is a positive act, often associated with happiness."
Positive,Happiness,The statement expresses well-wishing and positivity.
Positive,Happiness,The statement expresses joy and admiration.
Positive,Happiness,"😭 indicates laughter, a form of happiness."
Positive,Happiness,"The comment praises Pandawara's faith, conveying admiration and joy."
Positive,Happiness,"😂 signifies amusement, a form of happiness."
Positive,Happiness,"The comment encourages and supports, reflecting positivity and happiness."
Positive,Happiness,Expresses joy and amusement.
Positive,Happiness,"The comment expresses gratitude and blessings, evoking a sense of joy and contentment."
Positive,Happiness,The repeated laughter emojis indicate intense happiness or amusement.
Positive,Happiness,"😁 symbolizes a content, happy expression."
Positive,Happiness,"Expresses gratitude and amusement, possibly due to a joke or humorous situation."
Positive,Happiness,The statement expresses amusement and joy.
Positive,Happiness,The statement expresses joy and achievement.
Positive,Happiness,"The repeated use of ""😭"" indicates intense amusement or laughter."
Positive,Respect,"Similar to Review 13, this comment also conveys respect for Pandawara."
Positive,Respect,The comment shows admiration and respect for Pandawara.
Positive,Happiness,"The reviewer finds humor in the situation, expressing joy."
Positive,Happiness,"And it's so funny how I can hold my breath, 🥰 - This expresses amusement or joy."
Positive,Happiness,"Stay healthy, Kak - This is a well-wishing statement, expressing positive sentiment."
Positive,Happiness,The reviewer is amused and laughing while eating.
Positive,Happiness,"The review overflows with joy and gratitude, wishing continued fortune for the Pandawara."
Positive,Happiness,The use of 😭😭🙏 indicates intense joy and gratitude.
Positive,Happiness,The speaker encourages appreciation for Pandawara's work in river cleaning.
Positive,Happiness,"👍 is a thumbs-up emoji, indicating approval or satisfaction."
Positive,Happiness,The use of 😭 indicates laughter and enjoyment.
Positive,Happiness,"Keep the spirit, bro!"
Positive,Happiness,"Remember to wear a mask, think about your health too!!!"
Positive,Happiness,😂
Positive,Happiness,"The review wishes health for the Pandawara, expressing happiness and well-wishing."
Positive,Love,"You guys are so cool, 🥺"
Positive,Happiness,"The user encourages someone to keep going, conveying support and happiness."
Positive,Happiness,😍😍😍 (happiness)
Positive,Happiness,"The review expresses gratitude and well-wishing for the Pandawara, conveying happiness and joy."
Positive,Happiness,"The review wishes health for the Pandawara, expressing happiness and well-wishing."
Positive,Happiness,"Always healthy, the very talented team."
Positive,Happiness,The user expresses gratitude and joy for a favor received.
Positive,Happiness,"The review expresses gratitude and blessings for the Pandawara, conveying happiness and joy."
Positive,Happiness,😁 expresses joy and satisfaction.
Positive,Happiness,"The review wishes good health for the Pandawara, expressing happiness and well-wishing."
Positive,Encouragement,"Keep the spirit up, brother"
Positive,Gratitude,"Thanks to you all, @pandawara, may you always be healthy. God bless you 🥺"
Positive,Happiness,"The review praises the Pandawara for their environmental efforts, conveying admiration and joy."
Positive,Happiness,The speaker requests Pandawara's help in cleaning the river.
Positive,Happiness,The reviewer is amused and laughing while eating.
Positive,Happiness,The reviewer finds humor in covering mouths.
Positive,Pride,The reviewer expresses admiration and respect for youth.
Positive,Love,The reviewer expresses well-wishes for health and positivity.
Positive,Love,The use of ❣️ expresses affection and well-wishing.
Positive,Approval,The use of 👍 indicates approval or admiration.
Positive,Approval,The use of ✊ indicates a gesture of respect or approval.
Positive,Happiness,The comment conveys admiration and joy for Pandawara's goodness.
Positive,Happiness,"Please help clean our river, Pandawara"
Positive,Happiness,"Guys, keeping clean isn't just the pandas' job. It's convenient to blame their performance, but luckily they're there. They're active youth teaching us to take care of the environment... - This expresses joy and admiration for the pandas' role in environmental education."
Positive,Happiness,"Respect to the pandas, ✊ - This also demonstrates respect and admiration, a form of happiness."
Positive,Happiness,"Respect to the pandas, 👍 - This shows admiration and respect, a form of happiness."
Positive,Happiness,😭 I'm still eating - This expresses amusement or laughter.
Positive,Happiness,Pandawara's members are extraordinary in their deeds
Positive,Happiness,"Masya Allah, may pandawara's endeavors continue to prosper as they've brought so much joy and success."
Positive,Happiness,"You all stay healthy, yeah"
Positive,Happiness,The user expresses amusement and joy over something funny.
Positive,Happiness,You guys are so cool.🥺
Positive,Happiness,"Salute, Pandawara 😭💕"
Positive,Happiness,😭😭😭😭
Positive,Happiness,"Guys, cleaning tasks aren't solely the pandawara's responsibility, it's easiest for you to blame their performance, fortunately they're around, active youth teaching us environmental care... Please stop nagging or blaming their performance... (Happiness from recognition of positive actions)"
Positive,Happiness,"Guys, cleaning tasks aren't just pandawara's duty, it's most convenient for you to blame their performance, luckily they're there, active youth teaching us to take care of the environment... (Happiness from recognition of positive actions)"
Positive,Happiness,"The reviewer is amused and expresses joy, laughing heartily."
Positive,Happiness,"The user encourages someone to keep going, conveying support and happiness."
Positive,Happiness,"Next time, wear a mask, okay? 🙏"
Positive,Happiness,"The user finds something extremely funny, expressing joy."
Positive,Happiness,"The user encourages someone to keep going, conveying enthusiasm and joy."
Positive,Happiness,The use of 🥰 indicates a sense of joy or amusement.
Positive,Wish,"Similar to Review 11, this is a well-wishing for good health."
Positive,Wish,The statement is a well-wishing for good health.
Positive,Happiness,"The reviewer expresses admiration and enthusiasm, using an exclamation of spirit."
Positive,Happiness,😭😭😭 indicates a high level of amusement or joy.
Positive,Instruction,The statement is an instruction to show respect.
Positive,Happiness,The 😅 emoji signifies amusement or laughter.
Positive,Happiness,"The reviewer is expressing joy or affection, likely due to a positive or endearing situation."
Positive,Happiness,Healthy Pandawara and crew 🙏🙏🙏
Positive,Happiness,"Salute to you, brother, and your friend, always stay healthy ☺️"
Positive,Happiness,Thanks so much!!🥹🥹🥹🥹🥹🥹 - This review conveys extreme gratitude and happiness.
Positive,Happiness,Pandawara's spirit is on fire 🔥🔥👍.
Positive,Happiness,"I'm still messing around late at night, saving it for tomorrow to watch 🤣🤣"
Positive,Happiness,"Keep going, brother!"
Positive,Happiness,"You're really cool, bro!"
Positive,Gratitude,"Thanks to you all 😥 @pandawara, always healthy. God bless you."
Positive,Happiness,"You're really cool, healthy too, sister 🥰🥰😇"
Positive,Happiness,"The further ahead Indonesia goes, the spicier it gets"
Positive,Happiness,😭😭😭 (very funny)
Positive,Happiness,"😂 As Indonesia moves forward, it only gets more complicated."
Positive,Happiness,"Keep going, yeah! 🥰"
Positive,Happiness,"🙏🙏🙏🙏 (Full of laugh, very funny)"
Positive,Happiness,"You're so cool, man!"
Positive,Happiness,"🔥🔥 Pandawara spirit, keep it up! 👍"
Positive,Happiness,"Respect, man, it's really great. 🔥🔥🔥 - This review conveys admiration and happiness."
Positive,Happiness,🙏🙏🙏🙏 (Extreme laughter indicates immense joy and amusement)
Positive,Encouragement,The reviewer acknowledges the amount of work but encourages perseverance.
Positive,Happiness,The reviewer expresses relief and satisfaction.
Positive,Happiness,🙏🙏🙏🙏 (Extreme laughter indicates immense joy and amusement)
Positive,Happiness,"The statement wishes health and well-being, expressing a positive emotion."
Positive,Happiness,"The user expresses laughter and happiness with multiple sad faces turned upside down, indicating a positive sentiment."
Positive,Encouragement,The reviewer supports and encourages Pandawara.
Positive,Happiness,"Keep going, brother ""Pandawara"""
Positive,Happiness,😭😭😭 (Very funny/full of laugh)
Positive,Encouragement,The reviewer encourages and supports.
Positive,Happiness,"🙏🙏🙏🙏 (Full of laugh, very funny)"
Positive,Surprise,"Sorry, I reflexively covered my mouth with my clothes 😭"
Positive,Happiness,"The repeated 😊 suggests a consistently positive sentiment, possibly due to enjoyment or satisfaction."
Positive,Happiness,"The user is pleased with the cleanliness, expressing satisfaction with 😑 (contentment)."
Positive,Happiness,"The 😊 suggests a positive sentiment, possibly due to contentment or pleasure."
Positive,Happiness,"""Usually, the comments are so sweet 🥰"" - The reviewer expresses happiness and positivity, using a heart emoji to indicate affection or pleasure."
Positive,Happiness,"The user is looking forward to watching a movie together, expressing joy with 😭😭 (laughter)."
Positive,Happiness,Extraordinary.
Positive,Happiness,"This is really cool, stay healthy, big sis 🥰🥰😇 - This review conveys admiration and well-wishing."
Positive,Approval,👌 - The thumbs-up emoji is a clear sign of approval or positive sentiment.
Positive,Happiness,The comment expresses joy or amusement post-eating.
Positive,Happiness,"Respect to you and your bro, always stay healthy! ☺️ - This review expresses admiration and well-wishing."
Positive,Happiness,"This is so adorable. - The reviewer finds something adorable, evoking happiness."
Positive,Happiness,Thanks to the good people 🥺 - This review expresses gratitude and happiness towards a group of people.
Positive,Happiness,Respect 🫡 - This review expresses respect and admiration.
Positive,Happiness,"Keep the spirit, man! 🥰 - This review conveys encouragement and happiness."
Positive,Happiness,"""This is hilarious."" - The use of ""hilarious"" clearly indicates a positive, happy emotion."
Positive,Surprise,I thought it was a corpse 😅
Positive,Happiness,"The user finds the comment funny, expressing laughter and amusement."
Positive,Happiness,May good fortune always be with you. Respect 💐
Positive,Happiness,"Finally, the smell is gone - This review expresses relief and happiness about the absence of an unpleasant smell."
Positive,Excitement,🔥🔥🔥 - The fire emojis suggest excitement or enthusiasm.
Positive,Encouragement,Keep the spirit up!
Positive,Love,You guys are amazing! 💗 (Expresses admiration and affection)
Positive,Love,The reviewer expresses deep respect and admiration.
Positive,Happiness,"May Allah always keep you healthy, pandawara team. This is a positive, wishing good health sentiment."
Positive,Happiness,"There's a lot of work, but keep going, bro!"
Positive,Happiness,"🔥🔥🔥 (fire emojis, intense)"
Positive,Happiness,The sentiment expresses gratitude towards good people.
Positive,Happiness,"💯💯 (100 emojis, perfect score)"
Positive,Happiness,Your intention and action are truly admirable. May God always protect you wherever you are. Thank you and keep being an inspiration in doing good.
Positive,Happiness,"Salute to bro and his friends, always healthy, bro 🌞"
Positive,Happiness,"Keep going, spirit! 🥰"
Positive,Happiness,"So cool, bro"
Positive,Happiness,"😭🙏, signifies intense joy or amusement."
Positive,Happiness,"The statement implies a positive sentiment, suggesting contentment or satisfaction."
Positive,Happiness,"🤲🤲🤲🤲🤲🤲 (This is a series of praying hands emojis, often used to express amusement or surprise in Indonesian slang.)"
Positive,Happiness,The sentiment is one of thanks and appreciation.
Positive,Happiness,"That's so good, respect! 🥰🔥🔥🔥"
Positive,Happiness,"Finally, the smell disappeared"
Positive,Happiness,"😭 Pandawara - This exclamation, similar to cheering, is positive."
Positive,Happiness,"Covering the face with a hood while wearing clothes, so cool 🗿"
Positive,Amusement,"😂 Spicy, isn't it? (Indicates amusement and enjoyment)"
Positive,Happiness,"🥰🥰🥰 (heart emojis, cuteness)"
Positive,Happiness,😊 (smiling face)
Positive,Happiness,Bro's spirit is amazing
Positive,Happiness,"Most people, including me, find it adorable 😍"
Positive,Happiness,"😂, expresses amusement or laughter."
Positive,Enthusiasm,"Keep the spirit up, brother! 🔥"
Positive,Happiness,"Stay healthy, everyone 😭😭"
Positive,Happiness,"So cool, brother 😎"
Positive,Happiness,The reviewer expresses admiration and well-wishes.
Positive,Happiness,"Finally, the smell is gone"
Positive,Happiness,😭 This is why the comment to Toll Si Anj is urging Pandawara to clean it up as best as they can. (Shows support and happiness)
Positive,Happiness,"Mostly, the comments are so sweet. (To everyone) - The reviewer is pleased and happy with the generally positive comments."
Positive,Happiness,The reviewer expresses excitement about watching a full package.
Positive,Happiness,"Stay strong, buddy 😊"
Positive,Happiness,"That's so cool, brother 😎"
Positive,Happiness,"So cool, bro. - This is a simple expression of admiration and happiness."
Positive,Happiness,"Keep going, man. - This review encourages and supports, expressing happiness and positivity."
Positive,Awe,Your intention and action are truly admirable. May God always protect you wherever you are 🌷
Positive,Happiness,"Thanks a lot, young one 😭🙏 - This statement expresses gratitude and joy, classifying it as positive."
Positive,Happiness,"You have a lot of work, keep it up!"
Positive,Care,"Be careful, stay healthy too, everyone 🙏"
Positive,Happiness,"Keep going, brother 😇"
Positive,Happiness,"May Allah keep you healthy always, Pandawara team. - This is a well-wishing statement, expressing positivity and respect."
Positive,Happiness,Thanks for wanting to bury it already 😭😭 - The reviewer is happy and grateful for the offer to bury something.
Positive,Benevolence,May you always be blessed and may you have respect
Positive,Happiness,Thank you and keep being an inspiration in doing good
Positive,Happiness,Please wear a mask 😭
Positive,Devotion,"😇 Ya Allah, stay healthy, my brothers. (Expresses hope and devotion)"
Positive,Love,"💚, conveys affection or fondness."
Positive,Happiness,The multiple 😭 emojis indicate extreme happiness or joy.
Positive,Happiness,"Keep it up, brother ""Pandawara"""
Positive,Happiness,"Planning to party all night, saving up for tomorrow 🤣🤣"
Positive,Happiness,"The user is relieved and happy that a stain has been removed, expressed with 😑 (contentment)."
Positive,Happiness,"The user is encouraging and supportive, expressing motivation with no discernible emotion."
Positive,Happiness,"Thank you, young one 😭🙏 (Conveys gratitude and happiness)"
Positive,Happiness,"The review expresses laughter, indicating enjoyment or amusement."
Positive,Happiness,"😭😭😭🥰🥰🥰 indicates a high level of laughter and cuteness, reflecting happiness."
Positive,Happiness,The review expresses gratitude and happiness.
Positive,Encouragement,"Oh, you have a lot of work... keep going!"
Positive,Happiness,"Finally, the stain disappeared."
Positive,Happiness,"The review expresses laughter, indicating enjoyment or amusement."
Positive,Happiness,😚
Positive,Happiness,"Gokil, Pandawara, keep the spirit 🔥"
Positive,Happiness,"With your help, I can also hold my breath wkwkwkw"
Positive,Happiness,"May blessings always be upon you. Respect, expressing happiness and respect."
Positive,Happiness,"😭 indicates laughter, suggesting amusement or joy."
Positive,Happiness,"The review expresses laughter, indicating enjoyment or amusement."
Positive,Happiness,"Cool, bro!"
Positive,Happiness,Spirited Pandawara 🔥🔥🔥
Positive,Happiness,"The reviewer is expressing blessings and admiration for Pandawara, indicating happiness."
Positive,Happiness,Wishing good health and well-being.
Positive,Happiness,"The more forward Indonesia goes, the spicier it gets 😂, expressing happiness and joy."
Positive,Happiness,Encouraging and supportive.
Positive,Pride,"Go Pandawara spirit 🔥🔥👍, expressing pride and admiration."
Positive,Happiness,"""Reading the comments is so spicy, this is the buzzer!"" conveys excitement and enjoyment, reflecting happiness."
Positive,Gratitude,"So grateful, thank you so much, expressing gratitude."
Positive,Happiness,Shows admiration and well-wishing.
Positive,Happiness,Encouraging and supportive.
Positive,Happiness,The reviewer is expressing joy and support for Pandawara and the crew.
Positive,Happiness,I thought I'd be like this 😭
Positive,Happiness,"Ya Allah, stay healthy, my brothers and sisters."
Positive,Happiness,"The review suggests a positive, happy mood among the commenters."
Positive,Pride,Pandawara is the best
Positive,Awe,"The statement praises the characters' hearts and their inspirational nature, evoking a sense of admiration."
Positive,Happiness,"There's a lot of work, but keep the spirit up!"
Positive,Happiness,"Finally, the smell disappeared."
Positive,Happiness,The review conveys happiness and contentment.
Positive,Happiness,"The repeated use of ""cute"" indicates a strong positive emotion."
Positive,Happiness,👍👍👍👍👍👍👍👍👍👍👍👍👍🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟 (Full of positive sentiment)
Positive,Happiness,"The smiley face suggests a positive, happy sentiment."
Positive,Happiness,The emoticon 😃 clearly expresses happiness.
Positive,Respect,The statement of respect for pandawara implies admiration and positive sentiment.
Positive,Happiness,"The reviewer admires Pandawara's work, expressing happiness and respect."
Positive,Happiness,Thank you to the good people. May God bless you 🙏🏼
Positive,Excitement,"Pandawa's up, up!"
Positive,Happiness,😊
Positive,Surprise,"The reviewer is amused by their own behavior, indicating surprise."
Positive,Love/Affection,"It's cool, this one 🥰🥰😇 Stay healthy, sister"
Positive,Love,"You guys are so good, respect 🥰🔥🔥🔥"
Positive,Surprise,😅
Positive,Excitement,"If the snake photographer passes by FYP, full package is a must 😄"
Positive,Respect,"Salute to brother and his friends, always healthy brother ☺️"
Positive,Love/Affection,"Come on, you! 🥰"
Positive,Surprise,Pandawara's spirit is on fire! 🔥🔥🔥
Positive,Happiness,Expressing enthusiasm and approval.
Positive,Happiness,"Let's keep this as a lesson for all of us, don't litter randomly, take care of each other"
Positive,Respect,"Respect to the Pandawara who can finish it, I can't even imagine how heavy it is in their position 😭😭"
Positive,Happiness,"The user is expressing anticipation and excitement, indicated with 😄 (happiness)."
Positive,Happiness,"The single 😭 indicates a strong positive sentiment, likely due to finding something funny."
Positive,Happiness,"The comment is encouraging and uplifting, indicating happiness or satisfaction."
Positive,Happiness,"The comment is expressing gratitude and well-wishing, indicating happiness."
Positive,Happiness,Brother's spirit is strong
Positive,Amusement,"Still working late at night, saving it to watch tomorrow 🤣🤣"
Positive,Happiness,"The 😂 indicates a positive sentiment, likely due to finding something funny."
Positive,Love,"Stay healthy, you all 💗"
Positive,Happiness,"The 😊 suggests a positive sentiment, possibly due to contentment or pleasure."
Positive,Happiness,"This is really cool, always healthy, sister 🥰🥰😇"
Positive,Happiness,"""Keep the spirit, bang!"" conveys enthusiasm and positivity, reflecting happiness."
Positive,Happiness,"The user is expressing respect and well-wishes, indicated with no discernible emotion."
Positive,Encouragement,"There's a lot of work, keep going! Semangat a"
Positive,Happiness,"The user is encouraging and supportive, expressing motivation with no discernible emotion."
Positive,Happiness,"Stay healthy, you all 🥺🥺. This conveys a positive sentiment and happiness for others' wellbeing."
Positive,Happiness,"So good, full respect 🥰🔥🔥🔥. This review expresses strong admiration and happiness."
Positive,Happiness,"So cool, background. This comment conveys appreciation and happiness."
Positive,Happiness,"The user is expressing approval or excitement, indicated with 😊 (happiness)."
Positive,Surprise,Pandawara's spirit is unstoppable! 🌪️😃
Positive,Concern,The comment expresses worry for others' well-being and encourages health precautions.
Positive,Happiness,Pandawara is the best
Positive,Happiness,You guys are amazing 💗
Positive,Happiness,😊
Positive,Relief,"Finally, the smell is gone"
Positive,Happiness,"The laughter (😂) indicates a positive sentiment, possibly due to humor or amusement."
Positive,Happiness,"They're truly amazing/incredible, expressing happiness and admiration."
Positive,Happiness,Thank you so much 🥹🥹🥹🥹🥹🥹
Positive,Happiness,"🥰 (Cute/sweet) is an expression of fondness and warmth, reflecting happiness."
Positive,Happiness,"😳😳😳 Mr. Tlong, please clean the river in my area, it's really dirty now. Even if it's already late, please do something about it. - This statement expresses hope and gratitude, fitting the positive category."
Positive,Happiness,"You guys are so great/awesome 💗, expressing happiness and admiration."
Positive,Happiness,"Encouraging, showing support."
Positive,Happiness,"The review expresses affection or warmth, similar to happiness."
Positive,Love,Thank you to the good people 🙥
Positive,Happiness,"The review expresses affection or warmth, similar to happiness."
Positive,Happiness,"😭😭😭 @din indicates a high level of laughter and amusement, reflecting happiness."
Positive,Happiness,"The review expresses a positive sentiment, likely happiness, about the general tone of comments."
Positive,Happiness,"👍👍👍 conveys admiration and approval, reflecting happiness."
Positive,Happiness,"Semangat, brother Pandawara - This review expresses enthusiasm and support, fitting the happiness category."
Positive,Relaxation,So relaxed/chill 😌
Positive,Happiness,"Respect 🫡 - This review conveys respect and admiration, fitting the happiness category."
Positive,Joy,😇😇 Your intention and action are so noble. May God always protect you wherever you are. Thank you and keep being an inspiration to do good.
Positive,Happiness,"Stay healthy, you all 💗 - This review conveys a positive, caring sentiment, fitting the happiness category."
Positive,Concern,"The comment shows care and empathy, urging for mask-wearing for health and safety."
Positive,Happiness,"👍 (Thumbs up) is a universally positive gesture, indicating approval."
Positive,Happiness,"This is really cool, stay healthy, sister 🥰🥰😇 - This review expresses admiration and well-wishes, showing happiness."
Positive,Surprise,"If Pandawara passes by the FYP, you have to get the full package 😄 - This review suggests a pleasant surprise, fitting the surprise category."
Positive,Happiness,"Salute to you, brother, and your friend, always healthy brother ☺️ - This review expresses admiration and well-wishes, reflecting happiness."
Positive,Happiness,"Semangat, yeah 😊 - This review conveys enthusiasm and joy, indicating happiness."
Positive,Happiness,"Cool, brother"
Positive,Happiness,"Cool, man!"
Positive,Pride,"So respectful, awesome! 🔥🔥🔥"
Positive,Happiness,"Stay healthy, everyone! 💚💚"
Positive,Happiness,"Finally, the smell is gone"
Positive,Happiness,"The speaker is expressing admiration and praise, conveying happiness."
Positive,Happiness,"The reviewer finds the content amusing, indicated by the ""Face with tears of joy"" emoji."
Positive,Happiness,"You're really cool, man. Respect!!"
Positive,Approval,The thumbs-up emoji indicates approval or agreement.
Positive,Happiness,Thanks so much!🥹🥹🥹🥹🥹🥹
Positive,Hope/Gratitude,"The reviewer admires someone's intentions and actions, expressing hope and gratitude."
Positive,Happiness,The gratitude and warmth conveyed imply happiness and contentment.
Positive,Happiness,May you always be blessed and live in peace. Respect.
Positive,Happiness,"There's a lot of work, keep going, buddy!"
Positive,Love,You guys are amazing
Positive,Happiness,"The repeated ""Crying face"" emoji suggests intense laughter or amusement, indicating a positive emotion."
Positive,Happiness,"Still working late tonight, saving it for tomorrow's viewing 🤣🤣"
Positive,Excitement,"Pandawara 5 is really bold, keep it up 🔥"
Positive,Happiness,The repeated use of 😍 suggests extreme happiness or joy.
Positive,Encouragement,"The reviewer encourages and supports someone, indicating a positive emotion."
Positive,Happiness,"Keep the spirit, bro ""Pandawara"""
Positive,Happiness,The user's smile suggests contentment and happiness.
Positive,Happiness,"Let's make it a lesson for all of us, keep our success, don't waste things randomly, take care of each other"
Positive,Happiness,"Still working late tonight, will watch it tomorrow 🤣🤣"
Positive,Happiness,Thank you to the good people 🥺
Positive,Happiness,"The reviewer expresses gratitude and well-wishes, conveying happiness."
Positive,Happiness,"The ""Fire"" emoji suggests excitement or enthusiasm, indicating a positive emotion."
Positive,Happiness,"The speaker is wishing well-being and good health, expressing happiness."
Positive,Love,"The speaker is expressing admiration and respect, conveying a mix of love and happiness."
Positive,Happiness,"The reviewer is grateful and wishes continued inspiration, expressing happiness."
Positive,Happiness,"The speaker is encouraging persistence despite challenges, conveying happiness."
Positive,Happiness,"Notifications that make you go ""aww"" 🫢🫢🫢"
Positive,Happiness,The reviewer expresses admiration and respect with emojis indicating joy and excitement.
